k,numTrain,numTest,time
1,1000,500,162.3889
3,1000,500,28.8326
5,1000,500,35.527
7,1000,500,37.03
1,1000,1000,64.2485
3,1000,1000,66.473
5,1000,1000,99.1473
7,1000,1000,66.4516
1,1000,2000,113.7996
3,1000,2000,142.7547
5,1000,2000,114.1481
7,1000,2000,113.7801
1,2000,500,61.302
3,2000,500,59.4763
5,2000,500,60.8548
7,2000,500,63.1597
1,2000,1000,119.9113
3,2000,1000,119.4741
5,2000,1000,120.4465
7,2000,1000,121.2802
1,2000,2000,232.0757
3,2000,2000,231.8471
5,2000,2000,232.1604
7,2000,2000,233.3028
1,4000,500,128.3355
3,4000,500,125.3638
5,4000,500,126.6642
7,4000,500,127.8954
1,4000,1000,256.4957
3,4000,1000,249.0762
5,4000,1000,246.2742
7,4000,1000,249.5267
1,4000,2000,485.4518
3,4000,2000,485.5252
5,4000,2000,497.9998
7,4000,2000,485.0025
1,8000,500,258.3031
3,8000,500,255.5994
5,8000,500,255.2661
7,8000,500,254.3606
1,8000,1000,517.9126
3,8000,1000,521.6283
5,8000,1000,514.1331
7,8000,1000,517.9263
1,8000,2000,1024.7259
3,8000,2000,1020.4868
5,8000,2000,1016.2819
7,8000,2000,1016.3481
